date,State,daily_vaccinations,day,month,year
12-01-2021,Alabama,,12,1,2021
13-01-2021,Alabama,5906,13,1,2021
14-01-2021,Alabama,7083,14,1,2021
15-01-2021,Alabama,7478,15,1,2021
16-01-2021,Alabama,7498,16,1,2021
17-01-2021,Alabama,7509,17,1,2021
18-01-2021,Alabama,7517,18,1,2021
19-01-2021,Alabama,7523,19,1,2021
20-01-2021,Alabama,7880,20,1,2021
21-01-2021,Alabama,10517,21,1,2021
22-01-2021,Alabama,14107,22,1,2021
23-01-2021,Alabama,16202,23,1,2021
24-01-2021,Alabama,18294,24,1,2021
25-01-2021,Alabama,18196,25,1,2021
26-01-2021,Alabama,17738,26,1,2021
27-01-2021,Alabama,18178,27,1,2021
28-01-2021,Alabama,16153,28,1,2021
29-01-2021,Alabama,14514,29,1,2021
30-01-2021,Alabama,17271,30,1,2021
31-01-2021,Alabama,15748,31,1,2021
01-02-2021,Alabama,15381,1,2,2021
02-02-2021,Alabama,16703,2,2,2021
03-02-2021,Alabama,17414,3,2,2021
04-02-2021,Alabama,18491,4,2,2021
05-02-2021,Alabama,18526,5,2,2021
06-02-2021,Alabama,16105,6,2,2021
07-02-2021,Alabama,15480,7,2,2021
08-02-2021,Alabama,15622,8,2,2021
09-02-2021,Alabama,17012,9,2,2021
10-02-2021,Alabama,18209,10,2,2021
11-02-2021,Alabama,19258,11,2,2021
12-02-2021,Alabama,20074,12,2,2021
13-02-2021,Alabama,20855,13,2,2021
14-02-2021,Alabama,21417,14,2,2021
15-02-2021,Alabama,22405,15,2,2021
16-02-2021,Alabama,20816,16,2,2021
17-02-2021,Alabama,19174,17,2,2021
18-02-2021,Alabama,18400,18,2,2021
19-02-2021,Alabama,24002,19,2,2021
20-02-2021,Alabama,25111,20,2,2021
21-02-2021,Alabama,25194,21,2,2021
22-02-2021,Alabama,24164,22,2,2021
23-02-2021,Alabama,25489,23,2,2021
24-02-2021,Alabama,27098,24,2,2021
25-02-2021,Alabama,27531,25,2,2021
26-02-2021,Alabama,22104,26,2,2021
27-02-2021,Alabama,22022,27,2,2021
28-02-2021,Alabama,21984,28,2,2021
01-03-2021,Alabama,22111,1,3,2021
02-03-2021,Alabama,22436,2,3,2021
03-03-2021,Alabama,22904,3,3,2021
04-03-2021,Alabama,23916,4,3,2021
05-03-2021,Alabama,24388,5,3,2021
06-03-2021,Alabama,24087,6,3,2021
07-03-2021,Alabama,23947,7,3,2021
08-03-2021,Alabama,24040,8,3,2021
09-03-2021,Alabama,24118,9,3,2021
10-03-2021,Alabama,24827,10,3,2021
11-03-2021,Alabama,25376,11,3,2021
12-03-2021,Alabama,26375,12,3,2021
13-03-2021,Alabama,26935,13,3,2021
14-03-2021,Alabama,26926,14,3,2021
15-03-2021,Alabama,27106,15,3,2021
16-03-2021,Alabama,27331,16,3,2021
17-03-2021,Alabama,27167,17,3,2021
18-03-2021,Alabama,25752,18,3,2021
19-03-2021,Alabama,25356,19,3,2021
20-03-2021,Alabama,24649,20,3,2021
21-03-2021,Alabama,24865,21,3,2021
22-03-2021,Alabama,24693,22,3,2021
23-03-2021,Alabama,25307,23,3,2021
24-03-2021,Alabama,25490,24,3,2021
25-03-2021,Alabama,27004,25,3,2021
26-03-2021,Alabama,26387,26,3,2021
27-03-2021,Alabama,26439,27,3,2021
28-03-2021,Alabama,26634,28,3,2021
29-03-2021,Alabama,26759,29,3,2021
30-03-2021,Alabama,26885,30,3,2021
31-03-2021,Alabama,26617,31,3,2021
01-04-2021,Alabama,27555,1,4,2021
02-04-2021,Alabama,28865,2,4,2021
03-04-2021,Alabama,28769,3,4,2021
04-04-2021,Alabama,28533,4,4,2021
05-04-2021,Alabama,28325,5,4,2021
06-04-2021,Alabama,28468,6,4,2021
07-04-2021,Alabama,29498,7,4,2021
08-04-2021,Alabama,29195,8,4,2021
09-04-2021,Alabama,29696,9,4,2021
10-04-2021,Alabama,31155,10,4,2021
11-04-2021,Alabama,31967,11,4,2021
12-04-2021,Alabama,32519,12,4,2021
13-04-2021,Alabama,32914,13,4,2021
14-04-2021,Alabama,33381,14,4,2021
15-04-2021,Alabama,33007,15,4,2021
16-04-2021,Alabama,32034,16,4,2021
17-04-2021,Alabama,30766,17,4,2021
18-04-2021,Alabama,29953,18,4,2021
19-04-2021,Alabama,29296,19,4,2021
20-04-2021,Alabama,28635,20,4,2021
21-04-2021,Alabama,27377,21,4,2021
22-04-2021,Alabama,26702,22,4,2021
23-04-2021,Alabama,26294,23,4,2021
24-04-2021,Alabama,25832,24,4,2021
25-04-2021,Alabama,25590,25,4,2021
26-04-2021,Alabama,25809,26,4,2021
27-04-2021,Alabama,24561,27,4,2021
28-04-2021,Alabama,23898,28,4,2021
29-04-2021,Alabama,23662,29,4,2021
30-04-2021,Alabama,23076,30,4,2021
01-05-2021,Alabama,22271,1,5,2021
02-05-2021,Alabama,21615,2,5,2021
03-05-2021,Alabama,21299,3,5,2021
04-05-2021,Alabama,20711,4,5,2021
05-05-2021,Alabama,20444,5,5,2021
06-05-2021,Alabama,16178,6,5,2021
07-05-2021,Alabama,19313,7,5,2021
08-05-2021,Alabama,20088,8,5,2021
09-05-2021,Alabama,20784,9,5,2021
10-05-2021,Alabama,20899,10,5,2021
11-05-2021,Alabama,18461,11,5,2021
12-05-2021,Alabama,17244,12,5,2021
13-05-2021,Alabama,22667,13,5,2021
14-05-2021,Alabama,19034,14,5,2021
15-05-2021,Alabama,17613,15,5,2021
16-05-2021,Alabama,16843,16,5,2021
17-05-2021,Alabama,16077,17,5,2021
18-05-2021,Alabama,18807,18,5,2021
19-05-2021,Alabama,16353,19,5,2021
20-05-2021,Alabama,15330,20,5,2021
21-05-2021,Alabama,12271,21,5,2021
22-05-2021,Alabama,11621,22,5,2021
23-05-2021,Alabama,13689,23,5,2021
24-05-2021,Alabama,13704,24,5,2021
25-05-2021,Alabama,12970,25,5,2021
26-05-2021,Alabama,13786,26,5,2021
27-05-2021,Alabama,9747,27,5,2021
28-05-2021,Alabama,10188,28,5,2021
29-05-2021,Alabama,8268,29,5,2021
30-05-2021,Alabama,5646,30,5,2021
31-05-2021,Alabama,5683,31,5,2021
01-06-2021,Alabama,3704,1,6,2021
02-06-2021,Alabama,3239,2,6,2021
03-06-2021,Alabama,2615,3,6,2021
04-06-2021,Alabama,2280,4,6,2021
05-06-2021,Alabama,1770,5,6,2021
06-06-2021,Alabama,1943,6,6,2021
07-06-2021,Alabama,2079,7,6,2021
